Date,Price
2017/3/31,19.91
2017/4/5,19.95
2017/4/6,19.93
2017/4/7,19.84
2017/4/10,19.8
2017/4/11,19.75
2017/4/12,19.72
2017/4/13,19.74
2017/4/14,19.7
2017/4/17,19.66
2017/4/18,19.65
2017/4/19,19.49
2017/4/20,19.51
2017/4/21,19.66
2017/4/24,19.64
2017/4/25,19.85
2017/4/26,19.91
2017/4/27,19.86
2017/4/28,19.87
2017/5/2,19.98
2017/5/3,20.02
2017/5/4,20.12
2017/5/5,20.01
2017/5/8,20.02
2017/5/9,20.05
2017/5/10,20.06
2017/5/11,20.11
2017/5/12,20.09
2017/5/15,20.16
2017/5/16,20.16
2017/5/17,20.14
2017/5/18,20.08
2017/5/19,20.08
2017/5/22,20.08
2017/5/23,20.07
2017/5/24,20.1
2017/5/25,20.21
2017/5/26,20.17
2017/5/31,20.08
2017/6/1,20.14
2017/6/2,20.24
2017/6/3,20.28
2017/6/5,20.42
2017/6/6,20.43
2017/6/7,20.44
2017/6/8,20.49
2017/6/9,20.48
2017/6/12,20.32
2017/6/13,20.3
2017/6/14,20.22
2017/6/15,20.2
2017/6/16,20.33
2017/6/19,20.42
2017/6/20,20.57
2017/6/21,20.66
2017/6/22,20.77
2017/6/23,20.76
2017/6/26,20.98
2017/6/27,21.01
2017/6/28,20.91
2017/6/29,20.9
2017/6/30,20.87
2017/7/3,20.89
2017/7/4,20.89
2017/7/5,20.93
2017/7/6,20.94
2017/7/7,20.86
2017/7/10,20.82
2017/7/11,21.05
2017/7/12,21.16
2017/7/13,21.3
2017/7/14,21.3
2017/7/17,21.28
2017/7/18,21.3
2017/7/19,21.45
2017/7/20,21.47
2017/7/21,21.38
2017/7/24,21.36
2017/7/25,21.39
2017/7/26,21.33
2017/7/27,21.54
2017/7/28,21.41
2017/7/31,21.37
2017/8/1,21.53
2017/8/2,21.61
2017/8/3,21.53
2017/8/4,21.61
2017/8/7,21.71
2017/8/8,21.82
2017/8/9,21.68
2017/8/10,21.5
2017/8/11,21.43
2017/8/14,21.32
2017/8/15,21.4
2017/8/16,21.37
2017/8/17,21.46
2017/8/18,21.35
2017/8/21,21.3
2017/8/22,21.42
2017/8/23,21.41
2017/8/24,21.44
2017/8/25,21.5
2017/8/28,21.52
2017/8/29,21.53
2017/8/30,21.6
2017/8/31,21.57
2017/9/1,21.58
2017/9/4,21.58
2017/9/5,21.54
2017/9/6,21.5
2017/9/7,21.44
2017/9/8,21.53
2017/9/11,21.48
2017/9/12,21.5
2017/9/13,21.45
2017/9/14,21.46
2017/9/15,21.46
2017/9/18,21.56
2017/9/19,21.54
2017/9/20,21.55
2017/9/21,21.56
2017/9/22,21.43
2017/9/25,21.29
2017/9/26,21.24
2017/9/27,21.25
2017/9/28,21.16
2017/9/29,21.22
2017/9/30,21.34
2017/10/2,21.35
2017/10/3,21.45
2017/10/5,21.44
2017/10/6,21.45
2017/10/11,21.74
2017/10/12,21.82
2017/10/13,21.78
2017/10/16,21.79
2017/10/17,21.81
2017/10/18,21.78
2017/10/19,21.82
2017/10/20,21.77
2017/10/23,21.8
2017/10/24,21.79
2017/10/25,21.8
2017/10/26,21.8
2017/10/27,21.8
2017/10/30,21.89
2017/10/31,21.99
2017/11/1,22
2017/11/2,21.98
2017/11/3,21.91
2017/11/6,21.88
2017/11/7,21.98
2017/11/8,21.98
2017/11/9,21.96
2017/11/10,21.89
2017/11/13,21.88
2017/11/14,21.87
2017/11/15,21.84
2017/11/16,21.87
2017/11/17,21.93
2017/11/20,21.91
2017/11/21,22.07
2017/11/22,22.2
2017/11/23,22.24
2017/11/24,22.18
2017/11/27,22.13
2017/11/28,21.21
2017/11/29,21.22
2017/11/30,21.03
2017/12/1,21.06
2017/12/4,21.11
2017/12/5,21.1
2017/12/6,20.8
2017/12/7,20.72
2017/12/8,20.76
2017/12/11,20.83
2017/12/12,20.8
2017/12/13,20.83
2017/12/14,20.95
2017/12/15,20.86
2017/12/18,20.87
2017/12/19,20.88
2017/12/20,20.95
2017/12/21,20.92
2017/12/22,20.96
2017/12/25,21.06
2017/12/26,20.88
2017/12/27,20.95
2017/12/28,21.03
2017/12/29,21.19
2018/1/2,21.25
2018/1/3,21.42
2018/1/4,21.51
2018/1/5,21.57
2018/1/8,21.65
2018/1/9,21.77
2018/1/10,21.78
2018/1/11,21.65
2018/1/12,21.8
2018/1/15,21.93
2018/1/16,22.02
2018/1/17,22.03
2018/1/18,22.2
2018/1/19,22.33
2018/1/22,22.48
2018/1/23,22.44
2018/1/24,22.24
2018/1/25,22.28
2018/1/26,22.42
2018/1/29,22.43
2018/1/30,22.22
2018/1/31,22.21
2018/2/1,22.33
2018/2/2,22.34
2018/2/5,21.98
2018/2/6,21.21
2018/2/7,21.38
2018/2/8,21.4
2018/2/9,21.1
2018/2/12,21.23
2018/2/21,21.7
2018/2/22,21.65
2018/2/23,21.8
2018/2/26,21.97
2018/2/27,21.99
2018/3/1,21.86
